"gender","yearOfBirth","phase","weak.past","strong.past","category","sensibility","partnerRegRate","partnerRegCondition","item.reg.mean","response","regular","participant"
"Male",1975,"pretest","skrinked","skrank","sang","random",0.731,"increase",0.45,"skrank",FALSE,"s6165"
"Male",1975,"pretest","surned","surnt","burnt","random",0.731,"increase",0.698,"surned",TRUE,"s6165"
"Male",1975,"pretest","schmimmed","schmam","sang","random",0.731,"increase",0.634,"schmimmed",TRUE,"s6165"
"Male",1975,"pretest","slilled","slilt","burnt","random",0.731,"increase",0.693,"slilled",TRUE,"s6165"
"Male",1975,"pretest","prilled","prilt","burnt","random",0.731,"increase",0.713,"prilled",TRUE,"s6165"
"Male",1975,"pretest","drelled","drelt","burnt","random",0.731,"increase",0.653,"drelled",TRUE,"s6165"
"Male",1975,"pretest","skrined","skrone","drove","random",0.731,"increase",0.599,"skrone",FALSE,"s6165"
"Male",1975,"pretest","neened","nent","kept","random",0.731,"increase",0.663,"neened",TRUE,"s6165"
"Male",1975,"pretest","snited","snote","drove","random",0.731,"increase",0.53,"snote",FALSE,"s6165"
"Male",1975,"pretest","kleeled","klelt","kept","random",0.731,"increase",0.554,"kleeled",TRUE,"s6165"
"Male",1975,"pretest","swited","swote","drove","random",0.731,"increase",0.46,"swited",TRUE,"s6165"
"Male",1975,"pretest","snurned","snurnt","burnt","random",0.731,"increase",0.757,"snurned",TRUE,"s6165"
