"subject","condition","correct","correctAnswer","experiment","subj.gender","interlocutor","inTraining","phase","promptImage","promptName","selection","targetImage","targetWord1","targetWord2","subj.yob","subject.age","trialNumber"
"s1391","linguistic",FALSE,"tekpek","exp1","Male","female_side",TRUE,"training","bokchoy_large","tek","tekpak","bokchoy_dimin","tekpek","tekpak",1987,27,19
"s1391","linguistic",TRUE,"fanpak","exp1","Male","female",TRUE,"training","chair_large","fan","fanpak","chair_dimin","fanpek","fanpak",1987,27,20
"s1391","linguistic",TRUE,"tekpek","exp1","Male","female_side",TRUE,"training","bokchoy_large","tek","tekpek","bokchoy_dimin","tekpek","tekpak",1987,27,21
"s1391","linguistic",TRUE,"falpak","exp1","Male","male_side",TRUE,"training","bokchoy_large","fal","falpak","bokchoy_dimin","falpek","falpak",1987,27,22
"s1391","linguistic",TRUE,"fekpek","exp1","Male","male",TRUE,"training","pitcher_large","fek","fekpek","pitcher_dimin","fekpek","fekpak",1987,27,23
"s1391","linguistic",TRUE,"falpak","exp1","Male","female",TRUE,"training","bokchoy_large","fal","falpak","bokchoy_dimin","falpek","falpak",1987,27,24
"s1391","linguistic",FALSE,"fekpek","exp1","Male","female",TRUE,"training","pitcher_large","fek","fekpak","pitcher_dimin","fekpek","fekpak",1987,27,25
"s1391","linguistic",TRUE,"falpak","exp1","Male","female",TRUE,"training","bokchoy_large","fal","falpak","bokchoy_dimin","falpek","falpak",1987,27,26
"s1391","linguistic",TRUE,"fekpek","exp1","Male","female",TRUE,"training","pitcher_large","fek","fekpek","pitcher_dimin","fekpek","fekpak",1987,27,27
"s1391","linguistic",TRUE,"fekpek","exp1","Male","female_side",TRUE,"training","pitcher_large","fek","fekpek","pitcher_dimin","fekpek","fekpak",1987,27,28
"s1391","linguistic",TRUE,"ranpak","exp1","Male","male",TRUE,"training","fox_large_male","ran","ranpak","fox_dimin","ranpek","ranpak",1987,27,29
"s1391","linguistic",TRUE,"rakpak","exp1","Male","male_side",TRUE,"training","bear_large_male","rak","rakpak","bear_dimin","rakpek","rakpak",1987,27,30
"s1391","linguistic",FALSE,"ranpak","exp1","Male","female_side",TRUE,"training","fox_large_male","ran","ranpek","fox_dimin","ranpek","ranpak",1987,27,31
"s1391","linguistic",FALSE,"rakpak","exp1","Male","male_side",TRUE,"training","bear_large_male","rak","rakpek","bear_dimin","rakpek","rakpak",1987,27,32
"s1391","linguistic",TRUE,"ranpak","exp1","Male","male",TRUE,"training","fox_large_male","ran","ranpak","fox_dimin","ranpek","ranpak",1987,27,33
